Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,625,,4278065,IMIPRAMINE PAMOATE CP 75MG 30,37,Product in Blocked - NLC,0,4,4,,,,,,,
2025-02-17,625,,5869847,CARBOXMTHCL SOD DR 0.5% 15ML LUB,26,Product in Blocked - FDC,0,32,32,,,,,,,
2025-02-17,627,,4983284,GABAPENTIN CP 100MG 500,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5582192,HYDROCHLOROTHIAZIDE TB 12.5MG 100,35,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,5687488,SERTRALINE HCL TB 25MG 10X10UD,11,Product in Blocked - FDC,0,5,15,,,,,,,
2025-02-17,625,,5581400,INDOCYANINE GREEN PR 25MG 6 W/DIL,9,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,625,,5838388,SENNA-LAX TB 8.6MG 10X10UD,26,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,625,,5460902,GABAPENTIN CP 100MG 10X10UD,6,Product in Blocked - FDC,0,7,7,,,,,,,
2025-02-17,625,,5285200,ONDANSETRON ODT TD 4MG 30,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,5930177,DIAZEPAM KT 10MG TWNPK         C4,15,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,4278065,IMIPRAMINE PAMOATE CP 75MG 30,27,Product in Blocked - NLC,0,1,1,,,,,,,
2025-02-17,625,,4604773,QUETIAPINE FUM TB 50MG 1000,6,Product in Blocked - NLC,0,1,1,,,,,,,
2025-02-17,625,,5642509,SODIUM CL IS 0.9% 24X500ML LF,18,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,5967476,DILTIAZEM SF 5MG/ML 10X25ML,6,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,625,,5299094,RIZATRIPTAN BENZO TD5MG 3X6UD ODT,32,Product in Blocked - FDC,0,3,3,,,,,,,
2025-02-17,625,,5581400,INDOCYANINE GREEN PR 25MG 6 W/DIL,26,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,625,,2461689,OYSTER+D TB 500MG-200U 60,11,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,625,,3957180,HEARTBURN RELIEF TB 20MG 50 MS,26,Product in Blocked - FDC,0,2,4,,,,,,,
2025-02-17,625,,4278099,IMIPRAMINE PAMOATE CP 125MG 30,43,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,624,,4598280,NALTREXONE HCL TB 50MG 30,43,Product in Blocked - FDC,0,20,20,,,,,,,
2025-02-17,625,,5838388,SENNA-LAX TB 8.6MG 10X10UD,8,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,5853148,LACTULOSE SL 10GM/15ML 473ML,3,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,625,,5714449,OSELTAMIVIR PHOS PT 6MG/ML 60ML,28,Product in Quarantine - FDC,0,1,1,,,,,,,
2025-02-17,625,,5694450,CHD ACETAMIN SS 160MG/5ML 118ML,10,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,625,,5289277,ONDANSETRON HCL TB 8MG 30,34,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,624,,5498498,OSELTAMIVIR PHOS CP 75MG 10UD,26,Product in Blocked - FDC,0,5,5,,,,,,,
2025-02-17,624,,4370326,PANTOPRAZOLE SOD TB 40MG 1000 DR,26,Product in Blocked - FDC,0,5,5,,,,,,,
2025-02-17,624,,4775037,OXYCOD/APAP TB 10-325MG 100    C2,6,Product in Blocked - FDC,0,5,5,,,,,,,
2025-02-17,624,,5644174,CANDESARTAN CILEXETIL TB 32MG 90,43,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,624,,5488895,WIXELA INHUB IN 250-50MCG 60,32,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,624,,5868120,LISDEXAMFETAMINE CP 40MG 100   C2,10,Product in Blocked - FDC,0,6,6,,,,,,,
2025-02-17,624,,4598280,NALTREXONE HCL TB 50MG 30,26,Product in Blocked - FDC,0,9,9,,,,,,,
2025-02-17,633,,5745161,PRAZOSIN HCL CP 1MG 90,35,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,633,,5226030,ALBUT/IPRAT AH2.5-0.5MG/3ML 6X5UD,27,Product in Blocked - FDC,0,1,3,,,,,,,
2025-02-17,633,,5913769,CHOLESTYRAMINE PW 4GM 378GM ORN,24,Product in Quarantine - FDC,0,1,1,,,,,,,
2025-02-17,632,,5961677,BEPOTASTINE BESILATE DR 1.5% 10ML,11,Product in Blocked - NLC,0,12,12,,,,,,,
2025-02-17,633,,5433602,DARIFENACIN TB 7.5MG 30 ER,26,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,628,,1276161,AMITRIPTYLINE HCL TB 25MG 100,6,Product in Blocked - FDC,0,2,2,,,,,,,
2025-02-17,628,,5965694,CIMETIDINE HCL LQ 300MG/5ML 237ML,15,Product in Blocked - NLC,0,2,2,,,,,,,
2025-02-17,628,,4020350,FLUTICASONE PROP SN 50MCG 16GM,26,Product in Blocked - FDC,0,3,5,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,11,Product in Blocked - NLC,0,3,3,,,,,,,
2025-02-17,628,,5965694,CIMETIDINE HCL LQ 300MG/5ML 237ML,6,Product in Blocked - NLC,0,4,4,,,,,,,
2025-02-17,628,,5666755,PAROXETINE HCL TB 37.5MG 30 CR,16,Product in Blocked - FDC,0,4,4,,,,,,,
2025-02-17,628,,5128020,RIVASTIGMINE TD SYS AP 4.6/24 30,9,Product in Blocked - NLC,0,5,5,,,,,,,
