Process Date,Buyer,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2024-12-18,622,5857792,DOXEPIN HCL TB 3MG 30,24 - Hudson,Product in Blocked - FDC,24,7,7,,,,,,
2024-12-18,633,5708490,AMITRIPTYLINE HCL TB 10MG 100,16 - Dallas,Product in Blocked - FDC,24,7,7,,,,,,
2024-12-18,602,4536033,ENLYTE GC 30 SFG W/DELTAFOL,16 - Dallas,Product in Blocked - FDC,24,8,14,,,,,,
2024-12-18,601,5490941,TIROSINT CP 25MCG 3X10 BPK,34 - Sacramento,Product in Blocked - FDC,24,4,4,,,,,,
2024-12-18,625,5889480,VANCOMYCIN HCL CP 250MG 2X10UD,32 - Valencia,Product in Blocked - FDC,22,2,2,,,,,,
2024-12-18,628,4596128,ATORVASTATIN TB 20MG 90,26 - Greensboro,Product in Blocked - FDC,18,1,1,,,,,,
2024-12-18,606,4550141,NEBUSAL AH 6% 60X4MLUD INH,8 - Wheeling,Product in Blocked - FDC,16,3,3,,,,,,
2024-12-18,613,5423470,BIKTARVY 50-200-25MG TB 30 CPLT,10 - Jackson,Product in Blocked - FDC,15,23,23,,,,,,
2024-12-18,613,1123405,PREVIDENT GL 1.1% 56GM BRY,64 - Kinray,Product in Blocked - FDC,12,1,1,,,,,,
2024-12-18,624,3590072,TIZANIDINE HCL TB 4MG 1000,24 - Hudson,Product in Quarantine - NLC,12,1,1,,,,,,
2024-12-18,624,3590072,TIZANIDINE HCL TB 4MG 1000,19 - Phoenix,Product in Quarantine - NLC,12,1,1,,,,,,
2024-12-18,624,3590072,TIZANIDINE HCL TB 4MG 1000,16 - Dallas,Product in Quarantine - NLC,12,1,1,,,,,,
2024-12-18,624,3590072,TIZANIDINE HCL TB 4MG 1000,8 - Wheeling,Product in Quarantine - NLC,12,5,5,,,,,,
2024-12-18,624,3013042,CARBAMAZEPINE SS 100MG/5ML 450ML,34 - Sacramento,Product in Blocked - FDC,12,8,8,,,,,,
2024-12-18,625,5120142,MEMANTINE HCL TB 5MG 10X10UD CPLT,34 - Sacramento,Product in Blocked - FDC,12,1,1,,,,,,
2024-12-18,628,5312947,DILTIAZEM CP 120MG 10X10UD ER,24 - Hudson,Product in Blocked - FDC,12,2,2,,,,,,
2024-12-18,628,4924239,TIZANIDINE HCL TB 4MG 10X10UD,43 - Swedesboro,Product in Quarantine - NLC,12,2,2,,,,,,
2024-12-18,628,5645676,METHOCARBAMOL TB 500MG 10X10UD,24 - Hudson,Product in Blocked - FDC,12,4,4,,,,,,
2024-12-18,628,4924239,TIZANIDINE HCL TB 4MG 10X10UD,15 - Aurora,Product in Quarantine - NLC,12,1,1,,,,,,
2024-12-18,627,5854112,GLYCOPYROL SY 0.2MG/ML 10X2ML,26 - Greensboro,Product in Blocked - FDC,12,3,3,,,,,,
2024-12-18,687,5097506,INVEGA TRINZA SY 819MG/2.625ML ER,34 - Sacramento,Product in Blocked - FDC,10,1,1,,,,,,
2024-12-18,617,4806725,ELIQUIS TB 5MG 60,10 - Jackson,Product in Blocked - FDC,10,10,10,,,,,,
2024-12-18,624,5646211,CLADRIBINE SF 1MG/ML 10ML,16 - Dallas,Product in Blocked - FDC,9,4,10,,,,,,
2024-12-18,625,5598891,MANNITOL IS 20% 12X500ML LF,27 - Kansas City,Product in Quarantine - FDC,9,2,2,,,,,,
2024-12-18,622,5928940,PHENYLEPH HCL SD 10MG/ML 25X1ML,16 - Dallas,Product in Blocked - FDC,8,1,1,,,,,,
